2024-05-28 17:02:33.1716895953 | root | DEBUG | __name__='Glasses'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Glasses/__init__.py'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Glasses']
2024-05-28 17:02:33.1716895953 | root | DEBUG | __name__='Shader'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Shader/__init__.py'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Shader']
2024-05-28 17:02:33.1716895953 | root | DEBUG | __name__='Sunglasses'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Sunglasses/__init__.py'
2024-05-28 17:02:33.1716895953 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Sunglasses']
2024-05-28 17:04:33.1716896073 | root | DEBUG | __name__='Glasses'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Glasses/__init__.py'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Glasses']
2024-05-28 17:04:33.1716896073 | root | DEBUG | __name__='Shader'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Shader/__init__.py'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Shader']
2024-05-28 17:04:33.1716896073 | root | DEBUG | __name__='Sunglasses'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __file__='/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Sunglasses/__init__.py'
2024-05-28 17:04:33.1716896073 | root | DEBUG | __path__=['/run/media/ramumsrk/1.0TiB/twitter.com/ramumsrk/lists/OOP-Python-Programming-Language/@clcoding/python_oops_challenge_day_23/Sunglasses']
2024-05-28 17:04:33.1716896073 | root | DEBUG | first_instance=<Sunglasses.sunglasses.Sunglasses object at 0x7fbf09e7f4d0>
2024-05-28 17:04:33.1716896073 | root | DEBUG | first_instance.print_shade_index()='High!'
